"","Tweet","Date","Isretweet","Retweets","Score","Product","City","Country","duplicate"
"704","RT @Forbes: New Apple exclusive reveals massive iPhone 13 upgrades /jYuVDeUYP2","2021-06-06 17:47:33",TRUE,50,0,Apple iPhone,NYC,USA,TRUE
"705","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:46:40",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"706","Apple iPhone 6 Screen  Style  A Winner Smartphone.  Mobile Mobile News News  /s5tK3RaToq","2021-06-06 17:45:21",FALSE,0,1,Apple iPhone,NYC,USA,FALSE
"707","RT @Forbes: Here's why you should stop using the Facebook Messenger app /nbd0maj4hP","2021-06-06 17:45:00",TRUE,33,0,Apple iPhone,NYC,USA,TRUE
"708","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:44:09",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"709","RT @Forbes: Straight Talking Cyber on why everything has suddenly changed for 2 billion WhatsApp users ","2021-06-06 17:43:59",TRUE,12,0,Apple iPhone,NYC,USA,TRUE
"710","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:43:20",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"711","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:43:14",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"712","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:42:46",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"713","RT @Forbes: Here's why you should stop using the Facebook Messenger app /nbd0maj4hP","2021-06-06 17:42:29",TRUE,33,0,Apple iPhone,NYC,USA,TRUE
"714","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:42:14",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"715","RT @Forbes: New warning issued for millions of iPhone 12 users /o60XCphPSs","2021-06-06 17:42:11",TRUE,36,-1,Apple iPhone,NYC,USA,TRUE
"716","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:42:01",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"717","@Apple when are you making a hot pink iPhone?","2021-06-06 17:41:47",FALSE,0,1,Apple iPhone,NYC,USA,FALSE
"718","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:40:44",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"719","RT @Forbes: Here's why you should stop using the Facebook Messenger app /nbd0maj4hP","2021-06-06 17:40:17",TRUE,33,0,Apple iPhone,NYC,USA,TRUE
"720","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:39:19",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"721","RT @Forbes: New warning issued for millions of iPhone 12 users /o60XCphPSs","2021-06-06 17:38:35",TRUE,36,-1,Apple iPhone,NYC,USA,TRUE
"722","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:38:21",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"723","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:38:16",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
"724","RT @Forbes: WhatsApp suddenly gives 2 billion users a reason to stay /E1U5hpeodg","2021-06-06 17:38:10",TRUE,46,0,Apple iPhone,NYC,USA,TRUE
