"","tweet","date","isretweet","retweets","score","product","city","country","duplicated"
"61",RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi,2021-06-06 17-20-09,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"62",RT @IndieVideoGames: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames vi,2021-06-06 17-20-02,TRUE,8,0,Apple iPhone,LA,USA,TRUE
"63",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 17-12-05,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"64",Have an iPhone? 

podcast podcastshow newepisode @ApplePodcasts  /AMFEjmiTIo,2021-06-06 17-08-13,FALSE,0,0,Apple iPhone,LA,USA,FALSE
"65",Have an iPhone? podcast podcastepisode  /cSa1jQDZeW,2021-06-06 17-07-26,FALSE,0,0,Apple iPhone,LA,USA,FALSE
"66",Have an iPhone?

@ApplePodcasts newepisode podcast podcastshow  /Hrvj0s0gqk,2021-06-06 17-06-51,FALSE,0,0,Apple iPhone,LA,USA,FALSE
"67",@ATTexplore Hey @daskyky /uuyHV5XBvS
Ready to graduate to the latest iPhone?
attexplore sweepstakes,2021-06-06 17-02-52,FALSE,0,0,Apple iPhone,LA,USA,FALSE
"68",DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames /yM4eWabyxK,2021-06-06 16-58-15,FALSE,2,0,Apple iPhone,LA,USA,FALSE
"69",RT @iDropNews: John C. won an iPhone 12 Pro Max! Would you like to be next? Like this tweet if you're feeling lucky. Follow the link to ear,2021-06-06 16-43-47,TRUE,1058,4,Apple iPhone,LA,USA,TRUE
"70",DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames /brsjiIZS9p,2021-06-06 16-33-31,FALSE,1,0,Apple iPhone,LA,USA,FALSE
"71",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 16-21-40,TRUE,6,0,Apple iPhone,LA,USA,FALSE
"72",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 16-21-35,TRUE,6,0,Apple iPhone,LA,USA,TRUE
"73",RT @scpwords: DINO MAKER! Make Dinos and Levels to share! indiegame gamedev indiedev retro indievideogames ios indiegames videogame,2021-06-06 16-17-13,TRUE,6,0,Apple iPhone,LA,USA,TRUE
